Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
BABY LOLIGO SQUID R/P (30),MUC ONG NHOI,F0403,OCTOPUS & SQUID,$3.25 ,30 X 14 OZ,CHINA,WILD,26.25,VP,Retail,97.5
BABY OCTOPUS DS 16/25 (24),BACH TUOC 2 DA,F0296,OCTOPUS & SQUID,$3.60 ,12 X 2 LB,VIETNAM,WILD,24,VP,Retail,86.4
BABY OCTOPUS DS 5/15 (24),BACH TUOC 2 DA,F0295,OCTOPUS & SQUID,$3.50 ,12 X 2 LB,VIETNAM,WILD,24,VP,Retail,84
BABY OCTOPUS SS 16/25 (12x2),BACH TUOC 1 DA,F0291,OCTOPUS & SQUID,$3.60 ,12 X 2 LB,VIETNAM,WILD,24,VP,Retail,86.4
BABY OCTOPUS SS 5/15 (12x2),BACH TUOC 1 DA,F0290,OCTOPUS & SQUID,$3.50 ,12 X 2 LB,VIETNAM,WILD,24,VP,Retail,84
BONO SQUID IQF (22.05),MUC ONG CALIFORNIA,F0423,OCTOPUS & SQUID,$3.20 ,1 X 22 LB,USA,WILD,22,Bulk,Bulk,70.56
CALAMARI SQUID RINGS (30),KHOANH MUC ,F0416,OCTOPUS & SQUID,$3.20 ,30 X 16 OZ,CHINA,WILD,30,VP,Retail,96
CALIFORNIA SQUID W/R (36),MUC ONG NGUYEN CON,F0421,OCTOPUS & SQUID,$2.70 ,12 X 3 LB,USA,WILD,36,Box,Retail,97.2
CLN GIANT CUTTLEFISH 2/4 (22),MUC NANG LAM SACH,F2282,OCTOPUS & SQUID,$4.20 ,1 X 22 LB,INDIA,WILD,22,Bulk,Bulk,92.4
CLN GIANT CUTTLEFISH 4/6 (22),MUC NANG LAM SACH,F2283,OCTOPUS & SQUID,$4.20 ,1 X 22 LB,INDIA,WILD,22,Bulk,Bulk,92.4
CURLED CALAMARI CHUNK (30),MUC XOAN,F0417,OCTOPUS & SQUID,$2.85 ,30 X 14 OZ,CHINA,WILD,26.25,VP,Retail,85.5
LOLIGO ROLL 10/15cm (30),MUC ONG LOLIGO,F0426,OCTOPUS & SQUID,$8.30 ,30 X 16 OZ,INDONESIA,WILD,30,VP,Retail,249
LOLIGO ROLL 15/20cm (30),MUC ONG LOLIGO,F0427,OCTOPUS & SQUID,OOS,30 X 16 OZ,INDONESIA,WILD,30,VP,Retail,#N/A
LOLIGO ROLL 20/25cm (30),MUC ONG LOLIGO,F0428,OCTOPUS & SQUID,OOS,20 X 24 OZ,INDONESIA,WILD,30,VP,Retail,#N/A
LOLIGO SQUID T&T 3/5 (50),MUC NGUYEN CON,F0410,OCTOPUS & SQUID,$3.40 ,20 X 2.5#,CHINA,WILD,50,VP,Retail,170
LOLIGO SQUID TENTACLES (30),RAU MUC,F0413,OCTOPUS & SQUID,$3.70 ,30 X 14 OZ,CHINA,WILD,26.25,VP,Retail,111
LOLIGO SQUID TUBES 3/5 (50),THAN MUC ONG,F0412,OCTOPUS & SQUID,$3.70 ,20 X 2.5#,CHINA,WILD,50,Box,Retail,185
LOLIGO TENTACLES 10/20g (30),RAU MUC,F0414,OCTOPUS & SQUID,OOS,30 X 14 OZ,INDONESIA,WILD,26.25,VP,Retail,114
LOLIGO TENTACLES 20/30g (30),RAU MUC,F0415,OCTOPUS & SQUID,$3.80 ,30 X 14 OZ,INDONESIA,WILD,,VP,Retail,114
LOLIGO TENTACLES 20/30g (30),RAU MUC,F04141,OCTOPUS & SQUID,OOS,30 X 14 OZ,INDONESIA,WILD,,VP,Retail,#N/A
LOLIGO TENTACLES 40/60g (30),RAU MUC,F04143,OCTOPUS & SQUID,$3.80 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,#N/A
